account,broker_name,company_name,profile_url,sold_listings_apr2025,sold_listings_current,status,scraped_at
35275,John Sosville,Platform Brokerage,https://www.bizbuysell.com/business-broker/john-sosville/platform-brokerage/27972/,15,0,NO_SOLD_SECTION,2026-04-29 13:57:56
4907,Michael Nuanes,Business Brokerage Services LLC,https://www.bizbuysell.com/business-broker/michael-nuanes/business-brokerage-services/1687/,324,0,NO_SOLD_SECTION,2026-04-29 13:57:56
25324,Jeff Sosville,ATM Brokerage,https://www.bizbuysell.com/business-broker/jeff-sosville/atm-brokerage/18464/,77,0,NO_SOLD_SECTION,2026-04-29 13:57:56
44355,Greg Sosville,BBS Texas,https://www.bizbuysell.com/business-broker/greg-sosville/business-brokerage-services-llc/36359/,4,0,NO_SOLD_SECTION,2026-04-29 13:57:58
342,CJ Charlie Vlahos,Blanket Real Estate,https://www.bizbuysell.com/business-broker/c-j-charlie-vlahos/blanket-real-estate/342/,,0,NO_SOLD_SECTION,2026-04-29 13:57:58
